UTC Time,Latitude,Longitude,Altitude
2023-09-12T23:25:13.979,50.7527111,6.0723481,1.07
2023-09-12T23:25:14.982,50.7527102,6.072356,1.045
2023-09-12T23:25:15.984,50.752714,6.0723516,1.082
2023-09-12T23:25:16.987,50.7527095,6.0723536,0.844
2023-09-12T23:25:17.990,50.7527212,6.0723545,1.215
2023-09-12T23:25:18.992,50.7527273,6.0723542,1.144
2023-09-12T23:25:19.994,50.7527383,6.0723496,0.955
2023-09-12T23:25:20.997,50.7527304,6.0723504,1.014
2023-09-12T23:25:21.999,50.7527247,6.0723492,1.26
2023-09-12T23:25:23.001,50.7527262,6.0723448,1.347
2023-09-12T23:25:24.003,50.7527217,6.07234,1.198
2023-09-12T23:25:25.005,50.7527264,6.0723393,1.251
2023-09-12T23:25:26.008,50.7527273,6.0723325,1.121
2023-09-12T23:25:27.010,50.7527295,6.072323,1.15
2023-09-12T23:25:28.014,50.7527352,6.0723169,1.401
2023-09-12T23:25:29.017,50.7527441,6.0723124,1.102
2023-09-12T23:25:30.022,50.7527395,6.0723104,1.161
2023-09-12T23:25:31.025,50.7527296,6.0723116,1.087
2023-09-12T23:25:32.027,50.7527335,6.0723097,1.22
2023-09-12T23:25:33.029,50.7527352,6.0723106,1.181
2023-09-12T23:25:34.031,50.7527311,6.0723133,1.178
2023-09-12T23:25:35.033,50.7527328,6.0723193,1.432
2023-09-12T23:25:36.035,50.7527361,6.0723234,1.051
2023-09-12T23:25:37.037,50.7527387,6.0723283,1.107
2023-09-12T23:25:38.038,50.7527456,6.0723314,0.986
2023-09-12T23:25:39.041,50.7527367,6.072344,1.121
2023-09-12T23:25:40.043,50.7527479,6.0723473,0.966
2023-09-12T23:25:41.045,50.7527467,6.0723466,1.068
2023-09-12T23:25:42.046,50.7527628,6.0723408,1.031
2023-09-12T23:25:43.047,50.7527689,6.0723408,1.299
2023-09-12T23:25:44.049,50.7527855,6.0723393,1.15
2023-09-12T23:25:45.051,50.7527896,6.072344,0.963
2023-09-12T23:25:46.053,50.7527948,6.0723445,0.98
2023-09-12T23:25:47.055,50.7527933,6.0723463,1.13
2023-09-12T23:25:48.058,50.7528011,6.0723481,0.957
2023-09-12T23:25:49.059,50.752801,6.0723485,1.008
2023-09-12T23:25:50.061,50.7528015,6.0723506,0.986
2023-09-12T23:25:51.062,50.7528053,6.0723478,1.068
2023-09-12T23:25:52.064,50.7528037,6.0723509,1.133
2023-09-12T23:25:53.065,50.752812,6.0723503,1.02
2023-09-12T23:25:54.067,50.7528202,6.0723469,1.039
2023-09-12T23:25:55.070,50.752826,6.0723451,1.195
2023-09-12T23:25:56.071,50.7528351,6.0723452,0.924
2023-09-12T23:25:57.073,50.752837,6.0723427,1.056
2023-09-12T23:25:58.075,50.752838,6.0723411,0.737
2023-09-12T23:25:59.076,50.7528343,6.0723435,0.935
2023-09-12T23:26:00.078,50.7528252,6.0723445,0.974
2023-09-12T23:26:01.079,50.7528204,6.0723475,1.212
2023-09-12T23:26:02.081,50.7528115,6.0723482,1.158
2023-09-12T23:26:03.083,50.7528015,6.0723532,1.022
2023-09-12T23:26:04.084,50.7527968,6.0723585,0.935
2023-09-12T23:26:05.086,50.7527821,6.0723691,1.037
2023-09-12T23:26:06.090,50.7527437,6.0723879,1.186
2023-09-12T23:26:07.091,50.7527211,6.0724034,0.983
2023-09-12T23:26:08.093,50.7527101,6.072413,0.977
